track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
266	122.1	119.1	130.1	986,682,54,116	124.3	1144.2	39.4863260	73.5937820	4927.5
267	211.2	211.2	211.2	864,242,32,174	172.0	1139.6	39.4863280	73.5937840	4927.5
268	39.0	39.0	39.0	184,862,52,124	131.6	1139.3	39.4863250	73.5937810	4927.6
269	223.2	222.2	224.2	950,814,48,162	162.1	1138.2	39.4863270	73.5937830	4927.5
270	205.2	205.2	205.2	710,272,26,144	143.7	1135.1	39.4863270	73.5937840	4927.5
271	82.1	82.1	85.1	486,988,48,92	100.8	1129.4	39.4863270	73.5937820	4927.5
272	73.1	73.1	74.1	434,916,102,164	188.6	1126.7	39.4863290	73.5937830	4927.6
273	131.1	131.1	132.1	550,948,38,132	134.3	1125.4	39.4863270	73.5937810	4927.5
274	81.1	81.1	81.1	1474,390,36,80	80.4	1124.7	39.4863270	73.5937820	4927.5
275	37.0	37.0	38.0	320,892,98,144	170.9	1123.9	39.4863240	73.5937820	4927.6
276	224.2	224.2	224.2	954,10,30,160	159.7	1122.4	39.4863270	73.5937830	4927.5
277	102.1	102.1	106.1	1138,874,76,152	166.4	1118.0	39.4863260	73.5937810	4927.5
278	177.2	177.2	182.2	1290,470,30,144	143.9	1114.9	39.4863270	73.5937830	4927.5
279	12.0	12.0	12.0	254,906,44,80	86.8	1113.6	39.4863220	73.5937870	4927.6
280	83.1	83.1	83.1	396,588,48,120	124.8	1107.5	39.4863270	73.5937820	4927.5
281	223.2	221.2	224.2	1092,176,30,154	152.5	1106.6	39.4863270	73.5937830	4927.5
282	3.0	0.0	3.0	1352,830,18,140	138.5	1106.1	39.4863190	73.5937890	4927.5
283	103.1	103.1	105.1	506,956,72,124	140.5	1104.8	39.4863260	73.5937820	4927.5
284	35.0	34.0	36.0	406,914,44,90	94.8	1104.7	39.4863240	73.5937820	4927.6
285	216.2	216.2	216.2	1374,520,58,160	167.6	1103.9	39.4863280	73.5937840	4927.5
286	50.1	48.0	52.1	848,810,44,82	85.2	1102.4	39.4863260	73.5937820	4927.6
287	205.2	205.2	205.2	624,670,18,100	98.4	1096.7	39.4863270	73.5937840	4927.5
288	130.1	130.1	135.1	1302,924,34,96	98.6	1095.7	39.4863270	73.5937810	4927.5
289	83.1	83.1	83.1	552,86,38,70	73.3	1091.4	39.4863270	73.5937820	4927.5
290	216.2	216.2	216.2	860,0,50,166	170.9	1090.1	39.4863280	73.5937840	4927.5
291	91.1	91.1	91.1	338,626,72,156	166.7	1089.3	39.4863270	73.5937820	4927.5
292	82.1	79.1	86.1	930,468,48,108	114.8	1081.2	39.4863270	73.5937820	4927.5
293	108.1	108.1	108.1	264,958,52,122	129.8	1078.3	39.4863260	73.5937820	4927.5
294	187.2	183.2	188.2	1144,530,20,102	100.8	1075.8	39.4863260	73.5937830	4927.5
295	205.2	205.2	205.2	770,150,24,124	123.3	1074.6	39.4863270	73.5937840	4927.5
296	166.2	166.2	166.2	1444,18,34,92	95.5	1069.0	39.4863280	73.5937840	4927.5
297	211.2	211.2	211.2	766,416,34,158	155.7	1064.7	39.4863280	73.5937840	4927.5
298	223.2	216.2	223.2	1002,344,36,118	120.3	1055.0	39.4863270	73.5937830	4927.5
299	103.1	103.1	103.1	542,504,82,156	173.3	1050.2	39.4863260	73.5937820	4927.5
300	6.0	5.0	6.0	658,948,18,132	130.7	1046.2	39.4863200	73.5937890	4927.5
301	167.2	167.2	168.2	642,858,36,108	107.0	1043.2	39.4863280	73.5937840	4927.4
302	2.0	0.0	3.0	1500,0,22,154	152.5	1040.6	39.4863180	73.5937900	4927.5
303	64.1	64.1	64.1	672,190,64,86	101.6	1040.6	39.4863280	73.5937840	4927.6
304	60.1	60.1	62.1	370,976,38,78	79.6	1032.3	39.4863270	73.5937830	4927.6
305	86.1	86.1	86.1	1580,416,42,82	88.5	1023.7	39.4863270	73.5937830	4927.5
306	79.1	79.1	79.1	1662,94,40,86	91.2	1023.2	39.4863270	73.5937820	4927.6
307	66.1	65.1	67.1	350,952,56,98	107.4	1022.5	39.4863280	73.5937840	4927.6
308	55.1	55.1	56.1	1514,90,52,78	90.9	1021.8	39.4863260	73.5937820	4927.6
309	93.1	92.1	93.1	882,66,60,92	105.9	1021.7	39.4863270	73.5937820	4927.5
310	205.2	205.2	205.2	568,322,18,118	116.8	1021.3	39.4863270	73.5937840	4927.5
311	5.0	5.0	7.0	644,312,14,174	172.1	1018.2	39.4863190	73.5937890	4927.5
312	107.1	107.1	107.1	248,664,50,116	123.6	1017.3	39.4863260	73.5937820	4927.5
313	201.2	201.2	201.2	1278,540,22,114	113.4	1017.1	39.4863260	73.5937830	4927.4
314	43.0	36.0	46.0	776,186,46,72	78.1	1011.2	39.4863250	73.5937810	4927.6
315	59.1	59.1	70.1	488,784,42,80	82.6	1010.1	39.4863270	73.5937820	4927.6
316	26.0	14.0	26.0	588,68,46,90	97.5	1008.3	39.4863240	73.5937840	4927.6
317	223.2	223.2	223.2	1082,420,28,154	153.7	994.4	39.4863270	73.5937830	4927.5
318	64.1	64.1	64.1	1126,604,58,96	108.4	991.4	39.4863280	73.5937840	4927.6
319	82.1	82.1	82.1	952,68,46,78	85.9	991.4	39.4863270	73.5937820	4927.5
320	205.2	205.2	205.2	472,408,22,152	150.6	990.2	39.4863270	73.5937840	4927.5
321	44.0	42.0	46.0	548,958,44,70	79.9	988.2	39.4863250	73.5937810	4927.5
322	2.0	0.0	3.0	1252,0,16,138	136.2	988.0	39.4863180	73.5937900	4927.5
323	12.0	8.0	12.0	356,456,54,106	115.4	985.9	39.4863220	73.5937870	4927.6
324	78.1	78.1	78.1	678,636,68,112	124.2	981.9	39.4863280	73.5937820	4927.6
325	132.1	132.1	132.1	530,960,28,120	118.4	980.9	39.4863270	73.5937820	4927.5
326	75.1	68.1	75.1	776,498,62,86	103.0	979.8	39.4863280	73.5937830	4927.6
327	103.1	103.1	104.1	874,806,50,140	144.8	975.6	39.4863260	73.5937820	4927.5
328	2.0	0.0	3.0	1300,468,26,136	135.8	973.2	39.4863180	73.5937900	4927.5
329	2.0	0.0	3.0	1450,512,34,134	133.5	971.9	39.4863180	73.5937900	4927.5
330	180.2	180.2	180.2	500,304,20,74	73.3	969.4	39.4863260	73.5937830	4927.4
331	7.0	5.0	7.0	872,830,30,136	133.8	969.2	39.4863200	73.5937890	4927.6
332	188.2	187.2	188.2	1388,500,30,102	102.8	962.0	39.4863260	73.5937830	4927.4
333	133.1	128.1	133.1	1510,74,42,100	105.6	961.9	39.4863270	73.5937820	4927.5
334	43.0	37.0	48.0	868,302,52,74	84.4	961.7	39.4863250	73.5937810	4927.6
335	45.0	36.0	45.0	566,230,48,88	96.6	961.4	39.4863250	73.5937810	4927.5
336	2.0	0.0	4.0	1302,632,22,88	86.5	960.2	39.4863180	73.5937900	4927.5
337	218.2	217.2	218.2	1204,772,48,122	125.9	959.6	39.4863280	73.5937840	4927.5
338	53.1	47.0	53.1	302,784,68,76	97.8	955.8	39.4863260	73.5937820	4927.6
339	211.2	211.2	211.2	682,594,34,120	122.2	954.2	39.4863280	73.5937840	4927.5
340	218.2	216.2	220.2	652,346,38,126	129.1	952.9	39.4863280	73.5937840	4927.5
341	61.1	59.1	65.1	220,982,48,80	90.6	952.1	39.4863270	73.5937830	4927.6
342	89.1	89.1	89.1	444,472,68,112	125.5	952.0	39.4863270	73.5937830	4927.5
343	42.0	36.0	42.0	340,544,58,74	91.2	950.7	39.4863250	73.5937820	4927.6
344	107.1	107.1	107.1	548,266,62,120	132.3	950.4	39.4863260	73.5937820	4927.5
345	64.1	64.1	64.1	584,280,54,84	92.2	950.0	39.4863280	73.5937840	4927.6
346	4.0	4.0	4.0	1188,590,16,94	92.7	939.9	39.4863190	73.5937890	4927.5
347	218.2	218.2	219.2	1292,944,34,90	93.5	935.1	39.4863280	73.5937840	4927.5
348	107.1	107.1	107.1	466,524,46,94	102.0	932.6	39.4863260	73.5937820	4927.5
349	187.2	186.2	187.2	1476,494,28,74	76.5	932.2	39.4863260	73.5937830	4927.5
350	84.1	84.1	84.1	488,774,68,112	124.1	928.4	39.4863270	73.5937820	4927.5
351	211.2	211.2	211.2	1272,974,32,106	107.6	926.5	39.4863280	73.5937840	4927.5
352	105.1	105.1	106.1	416,858,64,122	133.3	924.6	39.4863260	73.5937820	4927.5
353	31.0	31.0	37.0	1428,594,54,98	106.4	921.5	39.4863240	73.5937820	4927.6
354	27.0	14.0	27.0	214,896,46,84	93.0	912.1	39.4863240	73.5937840	4927.5
355	201.2	201.2	201.2	948,360,26,78	78.6	911.8	39.4863260	73.5937830	4927.4
356	6.0	5.0	7.0	504,598,18,122	120.2	907.4	39.4863200	73.5937890	4927.5
357	92.1	92.1	92.1	142,874,66,132	143.2	907.1	39.4863270	73.5937820	4927.5
358	201.2	201.2	201.2	990,442,24,76	77.1	902.7	39.4863260	73.5937830	4927.4
359	54.1	54.1	54.1	580,728,50,66	78.8	898.5	39.4863260	73.5937820	4927.6
360	50.1	50.1	51.1	684,924,48,80	90.3	896.5	39.4863260	73.5937820	4927.6
361	54.1	54.1	54.1	1316,558,50,76	88.2	893.9	39.4863260	73.5937820	4927.6
362	2.0	2.0	2.0	1218,652,22,156	154.0	893.7	39.4863180	73.5937900	4927.5
363	85.1	85.1	85.1	824,234,36,76	75.3	890.1	39.4863270	73.5937830	4927.5
364	212.2	212.2	215.2	1146,702,34,126	125.6	880.5	39.4863280	73.5937840	4927.5
365	57.1	54.1	57.1	530,758,50,70	82.1	878.7	39.4863260	73.5937820	4927.6
366	38.0	38.0	38.0	166,828,58,88	102.6	878.6	39.4863250	73.5937810	4927.6
367	2.0	0.0	3.0	1130,968,20,92	90.6	877.3	39.4863180	73.5937900	4927.5
368	74.1	73.1	74.1	1496,160,52,90	101.1	863.4	39.4863290	73.5937830	4927.6
369	48.0	48.0	48.0	80,1020,56,60	79.1	861.0	39.4863250	73.5937820	4927.6
370	177.2	177.2	182.2	1164,586,48,108	113.9	858.5	39.4863270	73.5937830	4927.5
371	2.0	0.0	2.0	1518,130,20,126	124.6	857.4	39.4863180	73.5937900	4927.5
372	217.2	217.2	217.2	486,510,24,88	88.3	856.5	39.4863280	73.5937840	4927.5
373	45.0	45.0	45.0	412,450,30,88	89.3	856.4	39.4863250	73.5937810	4927.5
374	127.1	127.1	130.1	498,964,36,116	118.7	852.1	39.4863270	73.5937810	4927.4
375	109.1	109.1	109.1	682,998,32,82	84.7	851.6	39.4863270	73.5937820	4927.5
376	220.2	220.2	220.2	1094,128,42,136	139.7	846.0	39.4863270	73.5937840	4927.5
377	218.2	216.2	219.2	1016,168,32,142	143.1	845.0	39.4863280	73.5937840	4927.5
378	82.1	82.1	82.1	1198,472,40,80	83.9	844.7	39.4863270	73.5937820	4927.5
379	10.0	10.0	10.0	1484,446,50,108	115.4	843.8	39.4863220	73.5937880	4927.6
380	57.1	57.1	57.1	1220,354,58,66	83.3	839.1	39.4863260	73.5937820	4927.6
381	34.0	34.0	35.0	1706,158,44,86	93.9	837.3	39.4863240	73.5937820	4927.6
382	29.0	27.0	30.0	364,840,52,94	104.7	835.4	39.4863240	73.5937830	4927.6
383	29.0	29.0	29.0	488,248,68,74	96.3	826.0	39.4863240	73.5937830	4927.6
384	36.0	36.0	36.0	1112,890,28,86	85.7	824.4	39.4863240	73.5937810	4927.6
385	121.1	121.1	123.1	380,966,24,92	91.4	823.3	39.4863260	73.5937820	4927.5
386	71.1	68.1	73.1	290,870,44,72	81.6	822.6	39.4863290	73.5937830	4927.6
387	50.1	49.0	51.1	124,908,56,78	93.2	820.1	39.4863260	73.5937820	4927.6
388	67.1	67.1	69.1	466,920,54,88	100.5	818.0	39.4863290	73.5937840	4927.6
389	54.1	54.1	54.1	1338,240,50,78	89.9	813.4	39.4863260	73.5937820	4927.6
390	106.1	106.1	106.1	1176,584,78,136	152.1	812.9	39.4863270	73.5937820	4927.5
391	120.1	120.1	120.1	1452,26,50,92	101.5	805.9	39.4863270	73.5937820	4927.4
392	131.1	126.1	131.1	452,576,22,96	94.4	804.6	39.4863270	73.5937810	4927.5
393	51.1	51.1	51.1	590,24,68,80	102.2	801.1	39.4863260	73.5937820	4927.6
394	91.1	91.1	91.1	796,264,50,96	104.9	800.5	39.4863270	73.5937820	4927.5
395	60.1	60.1	60.1	614,226,46,72	81.6	800.3	39.4863270	73.5937830	4927.6
396	119.1	113.1	121.1	1034,220,30,82	84.1	797.5	39.4863270	73.5937820	4927.5
397	51.1	49.0	52.1	1066,878,58,82	96.4	791.7	39.4863260	73.5937820	4927.6
398	58.1	58.1	58.1	64,870,76,88	113.4	790.5	39.4863270	73.5937820	4927.6
399	13.0	13.0	13.0	908,222,44,104	108.8	788.5	39.4863230	73.5937870	4927.6
400	58.1	58.1	58.1	554,524,48,74	85.3	780.0	39.4863270	73.5937820	4927.6
401	0.0	0.0	3.0	1492,378,12,134	132.0	776.1	39.4863170	73.5937900	4927.5
402	73.1	71.1	73.1	1294,676,46,66	75.6	775.2	39.4863290	73.5937830	4927.6
403	74.1	74.1	74.1	1502,580,54,94	104.7	774.6	39.4863290	73.5937830	4927.6
404	112.1	112.1	112.1	1244,408,28,72	73.4	765.9	39.4863260	73.5937820	4927.5
405	81.1	81.1	81.1	594,372,40,74	80.5	763.9	39.4863270	73.5937820	4927.5
406	55.1	55.1	55.1	822,298,48,68	80.4	763.2	39.4863260	73.5937820	4927.6
407	14.0	14.0	28.0	1224,34,38,88	93.2	759.5	39.4863230	73.5937870	4927.6
408	105.1	105.1	106.1	582,970,64,104	118.3	752.3	39.4863260	73.5937820	4927.5
409	32.0	32.0	34.0	1538,146,50,84	88.8	751.6	39.4863240	73.5937820	4927.6
