ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
325	325	1.027	рюкзак-синий	7.3	13.4	снег-в-тени	0.236	52.2	-1.0	-7.0	7.1	bbox	324	112.0	111.0	114.0	184,457,25,16	416.3			
326	326	0.989	стакан-марка-красная	7.5	8.8	снег-в-тени	1.409	41.0	11.0	-6.5	12.8	bbox	325	107.0	106.0	107.0	153,1025,11,30	412.5			
327	327	1.845	стакан-марка-красная	14.6	8.4	порода-в-тени	1.067	41.4	-3.0	5.0	5.8	bbox	326	81.0	81.0	93.0	1902,171,18,8	412.4			
328	328	1.339	стакан-марка-красная	9.1	20.0	снег-розовый	0.374	69.8	2.0	0.0	2.0	bbox	327	100.0	100.0	100.0	1015,347,5,42	411.4			
329	329	1.310	рюкзак-синий	7.1	27.1	снег-в-тени	0.658	65.9	0.0	-7.0	7.0	bbox	328	105.0	105.0	106.0	345,337,26,12	405.4			
330	330	1.610	палка-древко-контроль	5.0	41.5	снег-пересвеченный	1.042	83.1	-5.0	-11.0	12.1	bbox	329	101.0	101.0	101.0	247,301,22,16	403.3			
331	331	0.891	рюкзак-синий	7.1	3.1	снег-в-тени	0.450	35.7	0.0	-7.0	7.0	bbox	330	53.0	50.0	53.0	1239,545,38,10	403.2			
332	332	1.638	стакан-марка-красная	11.0	24.7	порода-в-тени	0.326	25.1	0.0	0.0	0.0	bbox	331	99.0	99.0	99.0	1895,1033,12,15	403.0			
333	333	2.104	рюкзак-синий	6.1	54.9	снег-пересвеченный	0.808	93.7	0.0	-8.0	8.0	bbox	332	68.0	68.0	68.0	1358,972,12,24	399.2			
334	334	1.206	рюкзак-синий	9.0	12.1	порода-в-тени	0.664	26.7	1.0	-5.0	5.1	bbox	333	58.0	58.0	58.0	1911,461,9,20	398.0			
335	335	0.465	рюкзак-синий	3.6	3.2	снег-в-тени	1.204	42.0	3.0	-17.0	17.3	bbox	334	111.0	111.0	113.0	81,545,16,18	396.7			
336	336	1.401	рюкзак-синий	6.1	33.0	снег-в-тени	0.856	71.8	0.0	-8.0	8.0	bbox	335	119.0	117.0	126.0	1522,207,15,20	396.7			
337	337	0.608	рюкзак-синий	4.5	6.7	снег-в-тени	0.291	45.5	-1.0	-10.0	10.0	bbox	336	16.0	10.0	16.0	1651,251,26,12	396.5			
