ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1532	1532	1.304	рюкзак-синий	8.1	23.1	порода-в-тени	1.031	15.7	4.0	-6.5	7.6	bbox	1531	93.1	92.1	93.1	837,51,4,4	66.6	39.4863270	73.5937820	4927.5
1533	1533	1.461	стакан-марка-красная	10.8	15.9	снег-освещённый	0.703	65.7	1.0	-3.0	3.2	bbox	1532	107.1	107.1	107.1	1264,165,9,6	66.6	39.4863260	73.5937820	4927.5
1534	1534	2.193	рюкзак-синий	14.0	36.8	порода-в-тени	0.715	2.0	0.0	0.0	0.0	bbox	1533	206.2	206.2	206.2	681,769,6,4	66.6	39.4863270	73.5937840	4927.5
1535	1535	1.464	рюкзак-синий	9.2	25.3	порода-в-тени	1.374	13.5	7.0	-7.0	9.9	bbox	1534	89.1	87.1	89.1	607,7,10,2	66.5	39.4863270	73.5937830	4927.5
1536	1536	2.422	стакан-марка-красная	15.0	42.9	снег-пересвеченный	0.506	92.7	-4.0	1.0	4.1	bbox	1535	218.2	218.2	218.2	13,765,10,4	66.2	39.4863280	73.5937840	4927.5
1537	1537	1.636	стакан-марка-красная	12.2	16.9	снег-освещённый	0.520	66.7	-1.0	-1.0	1.4	bbox	1536	100.1	100.1	100.1	981,264,10,3	65.6	39.4863260	73.5937820	4927.5
1538	1538	2.009	стакан-марка-красная	11.2	40.4	снег-освещённый	0.379	90.2	0.0	-1.0	1.0	bbox	1537	207.2	207.2	207.2	859,1067,3,6	65.3	39.4863270	73.5937840	4927.5
1539	1539	1.402	рюкзак-синий	7.4	29.4	порода-в-тени	1.090	9.4	3.5	-7.0	7.8	bbox	1538	144.1	144.1	144.1	1023,92,8,3	65.1	39.4863290	73.5937840	4927.5
1540	1540	1.060	стакан-марка-красная	5.8	21.6	снег-в-тени	1.318	28.2	8.0	-4.0	8.9	bbox	1539	7.0	7.0	7.0	1809,941,8,4	64.7	39.4863200	73.5937890	4927.6
1541	1541	1.182	стакан-марка-красная	7.6	19.6	порода-в-тени	1.037	30.2	4.0	4.0	5.7	bbox	1540	217.2	217.2	217.2	1737,875,4,6	64.6	39.4863280	73.5937840	4927.5
1542	1542	1.513	рюкзак-синий	7.6	32.9	порода-в-тени	1.181	5.9	4.0	-7.0	8.1	bbox	1541	92.1	92.1	92.1	1240,59,7,4	64.4	39.4863270	73.5937820	4927.5
1543	1543	1.754	стакан-марка-красная	6.7	43.1	порода-в-тени	1.433	6.7	8.0	-5.0	9.4	bbox	1542	90.1	89.1	90.1	462,0,9,3	64.3	39.4863270	73.5937820	4927.5
1544	1544	1.199	стакан-марка-красная	5.8	26.7	порода-охристая	0.910	23.1	8.0	6.0	10.0	bbox	1543	208.2	208.2	208.2	521,553,5,6	64.3	39.4863270	73.5937840	4927.5
1545	1545	1.524	стакан-марка-красная	12.2	2.9	снег-в-тени	0.901	52.7	-1.0	-1.0	1.4	bbox	1544	107.1	107.1	107.1	435,725,4,10	64.2	39.4863260	73.5937820	4927.5
1546	1546	1.549	стакан-марка-красная	7.4	34.7	порода-охристая	0.965	15.1	8.5	8.0	11.7	bbox	1545	194.2	194.2	194.2	373,893,8,6	63.6	39.4863260	73.5937830	4927.4
1547	1547	1.034	рюкзак-синий	8.1	6.4	снег-в-тени	0.655	32.4	2.0	-6.0	6.3	bbox	1546	145.1	145.1	147.1	1891,161,4,4	62.9	39.4863290	73.5937840	4927.5
1548	1548	2.164	стакан-марка-красная	11.0	46.7	порода-в-тени	0.677	3.1	0.0	0.0	0.0	bbox	1547	193.2	193.2	193.2	544,785,9,3	62.6	39.4863270	73.5937820	4927.4
1549	1549	1.264	стакан-марка-красная	7.5	23.7	порода-охристая	0.872	26.1	6.5	7.0	9.6	bbox	1548	209.2	209.2	209.2	533,543,6,5	62.6	39.4863280	73.5937840	4927.5
1550	1550	0.510	стакан-марка-красная	3.2	9.0	порода-охристая	1.189	40.8	8.0	2.0	8.2	bbox	1549	110.1	110.1	110.1	476,963,5,7	62.3	39.4863260	73.5937820	4927.5
1551	1551	1.116	стакан-марка-красная	2.5	30.0	порода-в-тени	1.377	19.8	9.0	-0.5	9.0	bbox	1550	151.2	150.2	151.2	1545,561,5,4	62.0	39.4863280	73.5937850	4927.5
1552	1552	1.999	рюкзак-синий	12.0	36.8	порода-в-тени	0.715	2.0	0.0	-2.0	2.0	bbox	1551	88.1	88.1	88.1	1323,129,4,6	61.7	39.4863270	73.5937830	4927.5
1553	1553	1.706	стакан-марка-красная	13.0	14.5	снег-освещённый	0.615	64.3	-2.0	1.0	2.2	bbox	1552	107.1	107.1	107.1	1300,0,5,5	61.6	39.4863260	73.5937820	4927.5
1554	1554	1.011	стакан-марка-красная	5.1	22.0	порода-в-тени	1.101	27.8	6.0	2.0	6.3	bbox	1553	108.1	108.1	108.1	636,18,3,8	61.6	39.4863260	73.5937820	4927.5
1555	1555	1.451	стакан-марка-красная	11.0	12.9	снег-розовый	0.600	62.7	0.0	1.0	1.0	bbox	1554	207.2	207.2	207.2	396,46,7,5	61.5	39.4863270	73.5937840	4927.5
1556	1556	0.372	рюкзак-синий	2.2	6.9	снег-в-тени	0.887	45.7	-1.0	-15.0	15.0	bbox	1555	7.0	7.0	7.0	192,133,3,8	61.3	39.4863200	73.5937890	4927.6
1557	1557	1.854	стакан-марка-красная	12.4	28.6	снег-освещённый	0.264	78.4	-1.0	-2.0	2.2	bbox	1556	207.2	207.2	207.2	965,792,7,9	60.9	39.4863270	73.5937840	4927.5
1558	1558	1.044	рюкзак-синий	5.5	21.9	порода-в-тени	0.996	16.9	0.5	-8.5	8.5	bbox	1557	110.1	110.1	110.1	1875,958,4,5	60.5	39.4863260	73.5937820	4927.5
1559	1559	1.903	рюкзак-синий	13.3	25.7	порода-в-тени	0.259	13.1	-2.0	-1.0	2.2	bbox	1558	147.1	147.1	147.1	1904,211,7,6	60.4	39.4863290	73.5937850	4927.5
1560	1560	0.730	стакан-марка-красная	3.6	16.1	порода-в-тени	1.338	33.7	8.0	-1.0	8.1	bbox	1559	224.2	224.2	224.2	369,733,6,6	60.3	39.4863270	73.5937830	4927.5
1561	1561	1.533	стакан-марка-красная	11.0	18.6	порода-в-тени	0.476	31.2	0.0	0.0	0.0	bbox	1560	142.1	142.1	142.1	1604,787,7,8	60.0	39.4863280	73.5937840	4927.5
1562	1562	1.586	стакан-марка-красная	9.6	29.2	порода-охристая	1.098	20.6	4.5	8.0	9.2	bbox	1561	88.1	88.1	88.1	579,99,4,4	59.6	39.4863270	73.5937830	4927.5
