track	t_best	t0	t1	bbox	score	lat	lon	alt
109	13.0	13.0	13.0	1739,1073,13,7	198.5			
110	77.0	74.0	77.0	201,831,8,10	197.4			
111	52.0	52.0	52.0	1841,0,4,21	196.3			
112	59.0	58.0	59.0	1841,1075,12,5	192.1			
113	9.0	7.0	9.0	1661,1035,14,8	191.1			
114	21.0	21.0	21.0	1607,991,11,12	190.9			
115	33.0	31.0	33.0	1863,841,8,8	190.6			
116	78.0	78.0	78.0	223,823,8,10	188.4			
117	98.0	98.0	98.0	355,138,10,11	186.5			
118	16.0	16.0	16.0	1481,27,8,14	185.7			
119	6.0	5.0	6.0	1299,1068,10,12	182.9			
120	28.0	28.0	28.0	255,113,10,8	173.1			
121	26.0	26.0	33.0	1864,905,11,8	172.2			
122	26.0	23.0	29.0	221,187,8,8	169.9			
123	76.0	76.0	76.0	193,805,6,11	167.2			
124	8.0	7.0	9.0	1755,899,16,14	167.1			
125	37.0	35.0	40.0	1757,205,4,14	164.8			
126	17.0	17.0	21.0	1423,417,6,11	162.1			
127	5.0	4.0	5.0	1885,145,6,9	160.3			
128	7.0	4.0	7.0	1635,647,12,8	157.6			
129	98.0	98.0	98.0	1909,315,4,22	156.6			
130	51.0	51.0	54.0	1901,741,8,8	154.4			
131	24.0	24.0	24.0	62,721,9,8	153.2			
132	18.0	18.0	18.0	1471,454,8,13	152.1			
133	98.0	98.0	98.0	1895,965,10,6	151.9			
134	63.0	63.0	63.0	225,745,11,8	151.0			
135	81.0	81.0	81.0	1839,873,12,14	150.2			
136	94.0	92.0	94.0	1025,255,8,12	150.2			
137	15.0	15.0	15.0	849,1075,22,5	148.3			
138	20.0	20.0	20.0	1313,531,8,6	148.0			
139	94.0	94.0	94.0	1705,154,8,11	147.8			
140	80.0	80.0	80.0	1911,1061,9,11	145.9			
141	46.0	45.0	46.0	1727,49,4,19	145.3			
142	6.0	6.0	7.0	1485,926,10,9	145.0			
143	8.0	8.0	8.0	1491,837,6,8	143.4			
144	2.0	2.0	2.0	1611,1019,14,8	142.1			
145	94.0	94.0	94.0	25,647,19,7	139.6			
146	91.0	91.0	91.0	1631,658,7,9	139.4			
147	1.0	1.0	1.0	1613,321,4,14	138.8			
148	6.0	6.0	7.0	1889,981,8,12	138.6			
149	22.0	22.0	22.0	1657,661,11,6	135.6			
150	42.0	42.0	42.0	1914,290,6,15	134.2			
151	93.0	93.0	93.0	21,633,14,8	133.3			
152	98.0	93.0	98.0	51,844,16,7	133.3			
153	94.0	94.0	94.0	1263,297,10,6	132.3			
154	99.0	98.0	99.0	1815,779,8,6	131.5			
155	93.0	93.0	93.0	0,0,7,8	130.1			
156	25.0	23.0	25.0	385,65,10,8	130.0			
157	0.0	0.0	0.0	865,521,8,6	129.2			
158	96.0	96.0	96.0	1896,217,3,18	126.9			
159	48.0	48.0	48.0	1253,145,7,16	126.4			
160	58.0	58.0	58.0	1879,841,4,13	126.0			
161	94.0	94.0	94.0	575,497,21,4	125.6			
162	93.0	93.0	93.0	1739,151,4,13	125.1			
163	41.0	39.0	42.0	1759,693,8,10	124.0			
164	72.0	72.0	72.0	251,741,10,8	123.1			
165	9.0	8.0	9.0	1787,948,10,7	122.3			
166	2.0	2.0	2.0	59,856,4,11	120.9			
167	15.0	15.0	15.0	1269,51,6,7	118.9			
168	0.0	0.0	0.0	772,457,8,7	118.3			
169	35.0	35.0	38.0	1660,269,7,8	117.9			
170	95.0	95.0	95.0	1891,559,10,8	117.2			
171	14.0	14.0	14.0	1677,119,7,6	116.9			
172	94.0	93.0	94.0	317,504,14,7	116.8			
173	59.0	59.0	60.0	1747,963,9,6	115.8			
174	6.0	1.0	9.0	1308,857,5,9	114.5			
175	67.0	67.0	67.0	1886,918,7,11	114.5			
176	40.0	38.0	41.0	1897,1073,12,7	114.4			
177	97.0	97.0	97.0	225,139,8,5	112.5			
